hole_id,dataset_id,project_id,campaign_id,depth_m,azimuth_deg,dip_deg
SE-C01-001,DS05,santa_elena,CAMPAIGN_01,0.000000000,60.710593137,-81.341595291
SE-C01-001,DS05,santa_elena,CAMPAIGN_01,50.000000000,60.710593137,-81.341595291
SE-C01-001,DS05,santa_elena,CAMPAIGN_01,100.000000000,60.710593137,-81.341595291
SE-C01-001,DS05,santa_elena,CAMPAIGN_01,150.000000000,60.710593137,-81.341595291
SE-C01-001,DS05,santa_elena,CAMPAIGN_01,200.000000000,60.710593137,-81.341595291
SE-C01-001,DS05,santa_elena,CAMPAIGN_01,210.000000000,60.710593137,-81.341595291
SE-C01-002,DS05,santa_elena,CAMPAIGN_01,0.000000000,32.166345822,-84.000000000
SE-C01-002,DS05,santa_elena,CAMPAIGN_01,50.000000000,32.166345822,-84.000000000
SE-C01-002,DS05,santa_elena,CAMPAIGN_01,100.000000000,32.166345822,-84.000000000
SE-C01-002,DS05,santa_elena,CAMPAIGN_01,150.000000000,32.166345822,-84.000000000
SE-C01-002,DS05,santa_elena,CAMPAIGN_01,200.000000000,32.166345822,-84.000000000
SE-C01-002,DS05,santa_elena,CAMPAIGN_01,235.537692269,32.166345822,-84.000000000
SE-C01-003,DS05,santa_elena,CAMPAIGN_01,0.000000000,347.833654178,-84.000000000
SE-C01-003,DS05,santa_elena,CAMPAIGN_01,50.000000000,347.833654178,-84.000000000
SE-C01-003,DS05,santa_elena,CAMPAIGN_01,100.000000000,347.833654178,-84.000000000
SE-C01-003,DS05,santa_elena,CAMPAIGN_01,150.000000000,347.833654178,-84.000000000
SE-C01-003,DS05,santa_elena,CAMPAIGN_01,200.000000000,347.833654178,-84.000000000
SE-C01-003,DS05,santa_elena,CAMPAIGN_01,250.000000000,347.833654178,-84.000000000
SE-C01-003,DS05,santa_elena,CAMPAIGN_01,300.000000000,347.833654178,-84.000000000
SE-C01-003,DS05,santa_elena,CAMPAIGN_01,315.099443898,347.833654178,-84.000000000
SE-C01-004,DS05,santa_elena,CAMPAIGN_01,0.000000000,319.289406863,-84.000000000
SE-C01-004,DS05,santa_elena,CAMPAIGN_01,50.000000000,319.289406863,-84.000000000
SE-C01-004,DS05,santa_elena,CAMPAIGN_01,100.000000000,319.289406863,-84.000000000
SE-C01-004,DS05,santa_elena,CAMPAIGN_01,150.000000000,319.289406863,-84.000000000
SE-C01-004,DS05,santa_elena,CAMPAIGN_01,200.000000000,319.289406863,-84.000000000
SE-C01-004,DS05,santa_elena,CAMPAIGN_01,250.000000000,319.289406863,-84.000000000
SE-C01-004,DS05,santa_elena,CAMPAIGN_01,300.000000000,319.289406863,-84.000000000
SE-C01-004,DS05,santa_elena,CAMPAIGN_01,350.000000000,319.289406863,-84.000000000
SE-C01-004,DS05,santa_elena,CAMPAIGN_01,400.000000000,319.289406863,-84.000000000
SE-C01-004,DS05,santa_elena,CAMPAIGN_01,450.000000000,319.289406863,-84.000000000
SE-C01-004,DS05,santa_elena,CAMPAIGN_01,455.037201042,319.289406863,-84.000000000
SE-C01-005,DS05,santa_elena,CAMPAIGN_01,0.000000000,84.744881299,-79.688237246
SE-C01-005,DS05,santa_elena,CAMPAIGN_01,50.000000000,84.744881299,-79.688237246
SE-C01-005,DS05,santa_elena,CAMPAIGN_01,100.000000000,84.744881299,-79.688237246
SE-C01-005,DS05,santa_elena,CAMPAIGN_01,150.000000000,84.744881299,-79.688237246
SE-C01-005,DS05,santa_elena,CAMPAIGN_01,200.000000000,84.744881299,-79.688237246
SE-C01-005,DS05,santa_elena,CAMPAIGN_01,210.000000000,84.744881299,-79.688237246
SE-C01-006,DS05,santa_elena,CAMPAIGN_01,0.000000000,60.710593137,-84.000000000
